#Position (bp)	mapping quality
1.4480397125E9	58.132018160210855
1.4558040005E9	58.19529164877771
1.4635682885E9	58.143306110862525
1.4713325765E9	58.24600289272816
1.4790968645E9	53.60168763652852
1.4868611525E9	58.253449687108684
1.4946254405E9	58.27518209792188
1.5023897285E9	58.24875050916762
1.5101540165E9	58.219953100151386
1.5179183045E9	58.10193957125355
1.5256825925E9	58.15472888459634
1.5330268245E9	58.026034530449756
1.5369089685E9	55.661527618404556
1.5412111685E9	58.273372665529074
1.5489754565E9	58.2402392417709
1.5567397445E9	58.23941970961535
1.5645040325E9	58.197887535938804
1.5722683205E9	55.90611638426105
1.5800326085E9	28.946255517937715
1.5877968965E9	0.0
1.5955611845E9	17.954188538395684
1.6033254725E9	37.5373089294523
1.6110897605E9	58.30412516233185
1.6188540485E9	58.13991571681774
1.6266183365E9	58.10090577239543
1.6343826245E9	58.013496181931934
1.6421469125E9	58.197849264539705
1.6499112005E9	58.01832765460016
1.6576754885E9	58.15754997820771
1.6654397765E9	58.248653593377696
1.672102775E9	57.25060970507211
1.675984919E9	56.63642227916608
1.6809683525E9	58.16017510460507
1.6887326405E9	58.23204407956167
1.6964969285E9	58.18024218496723
1.7042612165E9	58.19055564357654
1.7120255045E9	43.35479605743111
1.7197897925E9	43.78800637235273
1.7275540805E9	57.94237094679223
1.7353183685E9	58.21776073681444
1.7430826565E9	58.213326269710905
1.7508469445E9	58.183184188049864
1.7586112325E9	57.53913985405452
1.7663755205E9	58.247975747326414
1.7741398085E9	58.274458925195844
1.7819040965E9	58.22025200924124
1.7896683845E9	58.1959189161087
1.7974326725E9	58.19136895857634
1.804997934E9	56.37818094087789
1.808880078E9	46.674708585665606
1.8129612485E9	57.30800702130265
1.8207255365E9	58.21863535352874
1.8284898245E9	58.139856401232606
1.8362541125E9	58.241709812632685
1.8440184005E9	58.22403714605354
1.8517826885E9	58.18566969237382
1.8595469765E9	34.409824528987805
1.8673112645E9	58.18544971366546
1.8750755525E9	58.21375589093848
1.8828398405E9	58.22104862924484
1.8906041285E9	58.20389813390632
1.8983684165E9	56.920741742695085
1.9061327045E9	58.13965095214454
1.9138969925E9	58.248645346606075
1.9216612805E9	58.207812045554135
1.9294255685E9	58.20071079756255
1.9371898565E9	58.19096764043949
1.942419837E9	58.07191689418445
1.946301981E9	57.909983865313066
1.9527184325E9	57.98532828353732
1.9604827205E9	58.24398177978495
1.9682470085E9	58.226262011272524
1.9760112965E9	43.03394077449453
1.9837755845E9	53.70442215859766
1.9915398725E9	58.25551298366546
1.9993041605E9	58.2239099521321
2.0070684485E9	58.18727068902152
2.0148327365E9	58.208309965031354
2.0225970245E9	58.26661206546697
2.0303613125E9	58.24549544486954
2.0381256005E9	58.2082877733045
2.0458898885E9	58.28403403740464
2.0536541765E9	58.29838568017403
2.0614184645E9	58.269521677800995
2.0691827525E9	58.17491337340562
2.0750539395E9	57.912244519226455
2.0789360835E9	0.0
2.0847113285E9	0.0
2.0924756165E9	10.628604889460997
2.1002399045E9	58.22877177013938
2.1080041925E9	58.18633525238619
2.1157684805E9	58.226061955132245
2.1235327685E9	58.16640892748123
2.1312970565E9	57.8944325831521
2.1390613445E9	58.04704152673713
2.1468256325E9	58.246319117863614
